gene_id	score	gene_type
ENSG00000188822.7	3.894082231	protein_coding
ENSG00000163687.12	3.887449352	protein_coding
ENSG00000149054.13	3.846943755	protein_coding
ENSG00000115363.12	3.796052293	protein_coding
ENSG00000102445.17	3.785334941	protein_coding
ENSG00000120278.13	3.727140215	protein_coding
ENSG00000104938.15	3.689306676	protein_coding
ENSG00000186226.8	3.65884348	protein_coding
ENSG00000154479.11	3.632305664	protein_coding
ENSG00000137364.4	3.607614834	protein_coding
ENSG00000255552.6	3.60251696	protein_coding
ENSG00000215217.5	3.599352271	protein_coding
ENSG00000138162.16	3.539545953	protein_coding
ENSG00000066117.13	3.52304013	protein_coding
ENSG00000106004.4	3.513745241	protein_coding
ENSG00000163737.3	3.507338775	protein_coding
ENSG00000177669.3	3.490919111	protein_coding
ENSG00000100867.13	3.469193315	protein_coding
ENSG00000162627.15	3.466472352	protein_coding
ENSG00000135925.7	3.462352443	protein_coding
ENSG00000165996.12	3.460645831	protein_coding
ENSG00000125787.10	3.460045155	protein_coding
ENSG00000182916.7	3.457015422	protein_coding
ENSG00000070193.4	3.453580878	protein_coding
ENSG00000235750.8	3.451841242	protein_coding
ENSG00000141295.12	3.438472519	protein_coding
ENSG00000179172.8	3.423201745	protein_coding
ENSG00000146197.8	3.422970748	protein_coding
ENSG00000176597.10	3.414578403	protein_coding
ENSG00000188295.13	3.412984585	protein_coding
ENSG00000187764.10	3.407508106	protein_coding
ENSG00000186265.8	3.390885299	protein_coding
ENSG00000128422.14	3.389717073	protein_coding
ENSG00000137261.12	3.3821519	protein_coding
ENSG00000196914.7	3.374684801	protein_coding
ENSG00000198331.9	3.371904361	protein_coding
ENSG00000198242.12	3.368182749	protein_coding
ENSG00000173662.18	3.355368897	protein_coding
ENSG00000255508.6	3.354277526	protein_coding
ENSG00000118523.5	3.353679012	protein_coding
ENSG00000236125.3	3.352920239	protein_coding
ENSG00000142453.10	3.352735292	protein_coding
ENSG00000121900.17	3.348697761	protein_coding
ENSG00000113161.14	3.340591991	protein_coding
ENSG00000105549.9	3.333157961	protein_coding
ENSG00000108424.8	3.332698572	protein_coding
ENSG00000224383.6	3.329805695	protein_coding
