gene_id	gene_name	gene_type
ENSG00000100181.20	340	lincRNA
ENSG00000120055.7	235	lincRNA
ENSG00000136315.4	381	lincRNA
ENSG00000153363.11	1194	lincRNA
ENSG00000163009.7	382	lincRNA
ENSG00000163364.8	577	lincRNA
ENSG00000166770.9	737	lincRNA
ENSG00000170161.6	201	lincRNA
ENSG00000170846.14	1533	lincRNA
ENSG00000172965.13	1411	lincRNA
ENSG00000173727.10	1016	lincRNA
ENSG00000176659.7	327	lincRNA
ENSG00000176728.6	179	lincRNA
ENSG00000177788.5	229	lincRNA
ENSG00000178440.5	387	lincRNA
ENSG00000178977.3	1146	lincRNA
ENSG00000179406.6	1098	lincRNA
ENSG00000179523.4	1370	lincRNA
ENSG00000180066.8	200	lincRNA
ENSG00000180279.5	157	lincRNA
ENSG00000180712.3	196	lincRNA
ENSG00000181908.5	174	lincRNA
ENSG00000182165.16	1503	lincRNA
ENSG00000182648.10	867	lincRNA
ENSG00000183250.10	940	lincRNA
ENSG00000185168.5	160	lincRNA
ENSG00000185433.7	261	lincRNA
ENSG00000186594.11	1483	lincRNA
ENSG00000188185.10	1152	lincRNA
ENSG00000188511.11	615	lincRNA
ENSG00000188825.12	217	lincRNA
ENSG00000196421.6	155	lincRNA
ENSG00000196741.5	1171	lincRNA
ENSG00000197180.2	1468	lincRNA
ENSG00000197182.11	374	lincRNA
ENSG00000197291.7	237	lincRNA
ENSG00000197308.7	314	lincRNA
ENSG00000197813.5	859	lincRNA
ENSG00000198106.8	277	lincRNA
ENSG00000198468.6	621	lincRNA
ENSG00000198590.10	261	lincRNA
ENSG00000203279.3	295	lincRNA
ENSG00000203364.2	183	lincRNA
ENSG00000203386.5	184	lincRNA
ENSG00000203499.9	509	lincRNA
ENSG00000203635.2	163	lincRNA
ENSG00000203684.5	306	lincRNA
ENSG00000203709.8	574	lincRNA
ENSG00000203711.10	537	lincRNA
ENSG00000204261.7	1508	lincRNA
ENSG00000204792.2	651	lincRNA
ENSG00000204904.6	204	lincRNA
ENSG00000205056.8	281	lincRNA
ENSG00000205181.5	261	lincRNA
ENSG00000205664.9	1456	lincRNA
ENSG00000205791.3	237	lincRNA
ENSG00000206567.8	921	lincRNA
ENSG00000212694.7	1353	lincRNA
ENSG00000212766.8	257	lincRNA
ENSG00000212939.2	175	lincRNA
ENSG00000213057.5	516	lincRNA
ENSG00000213062.4	372	lincRNA
ENSG00000213279.2	232	lincRNA
ENSG00000213468.3	422	lincRNA
ENSG00000213793.4	1011	lincRNA
ENSG00000213888.3	375	lincRNA
ENSG00000214194.7	1529	lincRNA
ENSG00000214293.7	1458	lincRNA
ENSG00000214548.13	400	lincRNA
ENSG00000214650.2	206	lincRNA
ENSG00000214870.7	471	lincRNA
ENSG00000214900.7	203	lincRNA
ENSG00000215014.4	179	lincRNA
ENSG00000215190.7	1295	lincRNA
ENSG00000215241.3	490	lincRNA
ENSG00000215244.2	179	lincRNA
ENSG00000215808.2	232	lincRNA
ENSG00000215908.6	1494	lincRNA
ENSG00000216921.6	354	lincRNA
ENSG00000218357.3	161	lincRNA
ENSG00000218510.5	1529	lincRNA
ENSG00000221949.5	190	lincRNA
ENSG00000222032.1	169	lincRNA
ENSG00000222041.9	1503	lincRNA
ENSG00000223396.2	882	lincRNA
ENSG00000223401.1	750	lincRNA
ENSG00000223473.2	541	lincRNA
ENSG00000223511.4	791	lincRNA
ENSG00000223546.5	275	lincRNA
ENSG00000223573.5	388	lincRNA
ENSG00000223695.1	155	lincRNA
ENSG00000223749.6	523	lincRNA
ENSG00000223764.2	315	lincRNA
ENSG00000223768.1	1269	lincRNA
ENSG00000223808.1	221	lincRNA
ENSG00000223881.1	266	lincRNA
ENSG00000223891.4	1329	lincRNA
ENSG00000223914.1	170	lincRNA
ENSG00000223929.1	230	lincRNA
ENSG00000223946.1	387	lincRNA
ENSG00000224032.5	1519	lincRNA
ENSG00000224050.1	165	lincRNA
ENSG00000224081.6	155	lincRNA
ENSG00000224137.1	850	lincRNA
ENSG00000224184.4	307	lincRNA
ENSG00000224187.1	228	lincRNA
ENSG00000224259.4	248	lincRNA
ENSG00000224307.1	523	lincRNA
ENSG00000224397.4	926	lincRNA
ENSG00000224400.4	172	lincRNA
ENSG00000224429.6	769	lincRNA
ENSG00000224460.1	420	lincRNA
ENSG00000224478.1	351	lincRNA
ENSG00000224559.2	240	lincRNA
ENSG00000224565.1	276	lincRNA
ENSG00000224577.1	265	lincRNA
ENSG00000224635.1	171	lincRNA
ENSG00000224638.1	282	lincRNA
ENSG00000224648.1	340	lincRNA
ENSG00000224652.1	490	lincRNA
ENSG00000224739.2	452	lincRNA
ENSG00000224790.1	307	lincRNA
ENSG00000224848.1	576	lincRNA
ENSG00000224914.2	621	lincRNA
ENSG00000224934.2	197	lincRNA
ENSG00000224950.2	506	lincRNA
ENSG00000224959.1	266	lincRNA
ENSG00000224977.1	307	lincRNA
ENSG00000225039.1	283	lincRNA
ENSG00000225163.3	161	lincRNA
ENSG00000225218.1	574	lincRNA
ENSG00000225231.1	171	lincRNA
ENSG00000225285.1	433	lincRNA
ENSG00000225434.2	164	lincRNA
ENSG00000225470.5	1528	lincRNA
ENSG00000225489.5	624	lincRNA
ENSG00000225490.1	378	lincRNA
ENSG00000225518.2	357	lincRNA
ENSG00000225675.2	459	lincRNA
ENSG00000225742.4	178	lincRNA
ENSG00000225750.1	196	lincRNA
ENSG00000225783.5	738	lincRNA
ENSG00000225791.5	1337	lincRNA
ENSG00000225793.2	174	lincRNA
ENSG00000225873.1	391	lincRNA
ENSG00000225880.5	587	lincRNA
ENSG00000225948.2	198	lincRNA
ENSG00000225975.5	953	lincRNA
ENSG00000226004.1	217	lincRNA
ENSG00000226012.1	186	lincRNA
ENSG00000226029.1	291	lincRNA
ENSG00000226032.1	204	lincRNA
ENSG00000226067.5	1155	lincRNA
ENSG00000226137.5	1077	lincRNA
ENSG00000226180.3	271	lincRNA
ENSG00000226197.2	524	lincRNA
ENSG00000226266.5	182	lincRNA
ENSG00000226281.2	228	lincRNA
ENSG00000226328.5	1429	lincRNA
ENSG00000226363.3	237	lincRNA
ENSG00000226380.6	367	lincRNA
ENSG00000226397.6	164	lincRNA
ENSG00000226453.1	160	lincRNA
ENSG00000226598.1	213	lincRNA
ENSG00000226686.6	267	lincRNA
ENSG00000226751.2	254	lincRNA
ENSG00000226756.1	344	lincRNA
ENSG00000226777.6	623	lincRNA
ENSG00000226782.2	260	lincRNA
ENSG00000226791.5	168	lincRNA
ENSG00000226822.1	278	lincRNA
ENSG00000226853.2	309	lincRNA
ENSG00000227017.1	448	lincRNA
ENSG00000227051.5	455	lincRNA
ENSG00000227269.1	270	lincRNA
ENSG00000227359.1	271	lincRNA
ENSG00000227373.4	227	lincRNA
ENSG00000227374.1	183	lincRNA
ENSG00000227388.2	462	lincRNA
ENSG00000227403.1	838	lincRNA
ENSG00000227486.1	758	lincRNA
ENSG00000227502.2	411	lincRNA
ENSG00000227516.1	183	lincRNA
ENSG00000227531.1	268	lincRNA
ENSG00000227740.1	333	lincRNA
ENSG00000227885.1	223	lincRNA
ENSG00000227946.1	1421	lincRNA
ENSG00000228037.1	717	lincRNA
ENSG00000228043.4	210	lincRNA
ENSG00000228106.4	1508	lincRNA
ENSG00000228139.1	202	lincRNA
ENSG00000228223.2	1231	lincRNA
ENSG00000228251.1	250	lincRNA
ENSG00000228261.1	287	lincRNA
ENSG00000228265.4	1134	lincRNA
ENSG00000228327.2	406	lincRNA
ENSG00000228340.4	181	lincRNA
ENSG00000228386.2	327	lincRNA
ENSG00000228423.2	302	lincRNA
ENSG00000228434.1	279	lincRNA
ENSG00000228590.1	257	lincRNA
ENSG00000228623.3	328	lincRNA
ENSG00000228634.1	362	lincRNA
ENSG00000228639.5	304	lincRNA
ENSG00000228784.6	365	lincRNA
ENSG00000228817.4	265	lincRNA
ENSG00000228857.2	582	lincRNA
ENSG00000228873.1	206	lincRNA
ENSG00000228886.1	332	lincRNA
ENSG00000228889.5	571	lincRNA
ENSG00000228906.1	604	lincRNA
ENSG00000229140.7	239	lincRNA
ENSG00000229180.5	874	lincRNA
ENSG00000229481.2	210	lincRNA
ENSG00000229484.1	185	lincRNA
ENSG00000229646.2	414	lincRNA
ENSG00000229671.1	700	lincRNA
ENSG00000229729.5	1120	lincRNA
ENSG00000229792.1	174	lincRNA
ENSG00000229807.8	801	lincRNA
ENSG00000229891.1	279	lincRNA
ENSG00000229896.2	233	lincRNA
ENSG00000229964.1	212	lincRNA
ENSG00000229989.3	421	lincRNA
ENSG00000230107.1	414	lincRNA
ENSG00000230138.1	563	lincRNA
ENSG00000230415.1	410	lincRNA
ENSG00000230438.6	899	lincRNA
ENSG00000230454.1	340	lincRNA
ENSG00000230487.6	738	lincRNA
ENSG00000230499.1	157	lincRNA
ENSG00000230537.1	323	lincRNA
ENSG00000230542.4	249	lincRNA
ENSG00000230555.2	928	lincRNA
ENSG00000230569.1	155	lincRNA
ENSG00000230590.6	341	lincRNA
ENSG00000230699.2	182	lincRNA
ENSG00000230709.1	155	lincRNA
ENSG00000230724.8	164	lincRNA
ENSG00000230733.2	1235	lincRNA
ENSG00000230736.2	226	lincRNA
ENSG00000230812.4	320	lincRNA
ENSG00000230838.1	569	lincRNA
ENSG00000230839.1	155	lincRNA
ENSG00000230844.2	1272	lincRNA
ENSG00000230939.1	228	lincRNA
ENSG00000230943.1	256	lincRNA
ENSG00000230969.2	177	lincRNA
ENSG00000230978.1	223	lincRNA
ENSG00000231010.1	217	lincRNA
ENSG00000231081.1	165	lincRNA
ENSG00000231106.2	356	lincRNA
ENSG00000231265.1	192	lincRNA
ENSG00000231327.1	463	lincRNA
ENSG00000231346.4	394	lincRNA
ENSG00000231367.4	162	lincRNA
ENSG00000231412.2	232	lincRNA
ENSG00000231439.4	390	lincRNA
ENSG00000231485.1	289	lincRNA
ENSG00000231507.1	574	lincRNA
ENSG00000231535.4	232	lincRNA
ENSG00000231551.5	613	lincRNA
ENSG00000231566.1	228	lincRNA
ENSG00000231681.1	267	lincRNA
ENSG00000231705.1	278	lincRNA
ENSG00000231826.4	173	lincRNA
ENSG00000231829.2	176	lincRNA
ENSG00000232098.3	1151	lincRNA
ENSG00000232104.3	468	lincRNA
