gene_id	score	gene_type
ENSG00000271843.1	0.8339	lincRNA
ENSG00000273308.1	0.811025	lincRNA
ENSG00000258701.1	0.80615	lincRNA
ENSG00000258082.1	0.796975	lincRNA
ENSG00000274422.1	0.795225	lincRNA
ENSG00000222032.1	0.78565	lincRNA
ENSG00000268568.1	0.78255	lincRNA
ENSG00000272043.1	0.782125	lincRNA
ENSG00000248323.4	0.78005	lincRNA
ENSG00000276073.1	0.773625	lincRNA
ENSG00000247400.3	0.7694	lincRNA
ENSG00000225880.5	0.76745	lincRNA
ENSG00000263470.1	0.766225	lincRNA
ENSG00000269961.1	0.7635	lincRNA
ENSG00000274918.1	0.762025	lincRNA
ENSG00000272913.1	0.760775	lincRNA
ENSG00000247134.5	0.7605	lincRNA
ENSG00000188511.11	0.757475	lincRNA
ENSG00000271584.1	0.75685	lincRNA
ENSG00000260418.1	0.753325	lincRNA
ENSG00000278389.1	0.753125	lincRNA
ENSG00000236255.1	0.7512	lincRNA
ENSG00000250950.1	0.750375	lincRNA
ENSG00000257924.1	0.74975	lincRNA
ENSG00000278385.1	0.7488	lincRNA
ENSG00000273102.1	0.7486	lincRNA
ENSG00000250903.7	0.746825	lincRNA
ENSG00000275418.1	0.746825	lincRNA
ENSG00000233261.2	0.745875	lincRNA
ENSG00000266970.1	0.745175	lincRNA
ENSG00000253385.1	0.745075	lincRNA
ENSG00000258927.1	0.74455	lincRNA
ENSG00000275709.1	0.744425	lincRNA
ENSG00000255670.1	0.7444	lincRNA
ENSG00000273272.1	0.744375	lincRNA
ENSG00000260197.1	0.744125	lincRNA
ENSG00000223914.1	0.7441	lincRNA
ENSG00000260778.3	0.742825	lincRNA
ENSG00000261889.1	0.742325	lincRNA
ENSG00000272853.1	0.74215	lincRNA
ENSG00000272754.1	0.7416	lincRNA
ENSG00000239467.4	0.74135	lincRNA
ENSG00000230736.2	0.74115	lincRNA
ENSG00000276698.1	0.740925	lincRNA
ENSG00000246067.6	0.740675	lincRNA
ENSG00000258181.1	0.7403	lincRNA
ENSG00000259989.1	0.740175	lincRNA
ENSG00000272792.1	0.739775	lincRNA
ENSG00000273816.1	0.73895	lincRNA
ENSG00000272010.1	0.73765	lincRNA
ENSG00000248360.6	0.7375	lincRNA
ENSG00000272444.1	0.7363	lincRNA
ENSG00000260303.1	0.735025	lincRNA
ENSG00000197813.5	0.734575	lincRNA
ENSG00000227403.1	0.734325	lincRNA
ENSG00000275580.1	0.733575	lincRNA
ENSG00000262686.1	0.73355	lincRNA
ENSG00000251615.3	0.733125	lincRNA
ENSG00000266490.1	0.732975	lincRNA
ENSG00000278921.2	0.732925	lincRNA
ENSG00000226791.5	0.732425	lincRNA
ENSG00000270190.1	0.732	lincRNA
ENSG00000226004.1	0.7318	lincRNA
ENSG00000267045.1	0.731425	lincRNA
ENSG00000272512.1	0.731325	lincRNA
ENSG00000255669.1	0.731175	lincRNA
ENSG00000226756.1	0.731025	lincRNA
ENSG00000234689.1	0.73065	lincRNA
ENSG00000223573.5	0.7304	lincRNA
ENSG00000272567.1	0.7294	lincRNA
ENSG00000226281.2	0.7292	lincRNA
ENSG00000197291.7	0.7291	lincRNA
ENSG00000277851.1	0.72905	lincRNA
ENSG00000281538.1	0.72905	lincRNA
ENSG00000271141.1	0.728575	lincRNA
ENSG00000258884.1	0.7285	lincRNA
ENSG00000267658.1	0.727825	lincRNA
ENSG00000276030.1	0.727425	lincRNA
ENSG00000249526.1	0.72725	lincRNA
ENSG00000260837.1	0.726725	lincRNA
ENSG00000277232.2	0.72565	lincRNA
ENSG00000272645.2	0.7256	lincRNA
ENSG00000272341.1	0.72535	lincRNA
ENSG00000234390.4	0.725325	lincRNA
ENSG00000241163.6	0.7253	lincRNA
ENSG00000262873.1	0.725225	lincRNA
ENSG00000257261.4	0.72505	lincRNA
ENSG00000272449.1	0.7245	lincRNA
ENSG00000277013.1	0.7244	lincRNA
ENSG00000261172.1	0.724325	lincRNA
ENSG00000216921.6	0.724225	lincRNA
ENSG00000260257.2	0.724075	lincRNA
ENSG00000273142.1	0.723925	lincRNA
ENSG00000262228.2	0.7238	lincRNA
ENSG00000258512.1	0.723575	lincRNA
ENSG00000238039.1	0.723325	lincRNA
ENSG00000250899.3	0.723275	lincRNA
ENSG00000232470.1	0.72315	lincRNA
ENSG00000228857.2	0.722925	lincRNA
ENSG00000257086.1	0.722725	lincRNA
ENSG00000247982.5	0.722525	lincRNA
ENSG00000251442.4	0.722475	lincRNA
ENSG00000273156.1	0.72225	lincRNA
ENSG00000212766.8	0.722225	lincRNA
ENSG00000274173.1	0.722075	lincRNA
ENSG00000262202.4	0.722075	lincRNA
ENSG00000279078.1	0.722	lincRNA
ENSG00000281383.1	0.721925	lincRNA
ENSG00000136315.4	0.7218	lincRNA
ENSG00000274104.1	0.7217	lincRNA
ENSG00000235584.2	0.721325	lincRNA
ENSG00000237520.1	0.72105	lincRNA
ENSG00000182165.16	0.721	lincRNA
ENSG00000271966.1	0.72095	lincRNA
ENSG00000269888.1	0.72085	lincRNA
ENSG00000278175.2	0.7205	lincRNA
ENSG00000230499.1	0.720475	lincRNA
ENSG00000247363.2	0.7203	lincRNA
ENSG00000221949.5	0.720225	lincRNA
ENSG00000256582.1	0.720125	lincRNA
ENSG00000237753.1	0.720075	lincRNA
ENSG00000270547.4	0.7199	lincRNA
ENSG00000270124.1	0.71975	lincRNA
ENSG00000268573.1	0.719475	lincRNA
ENSG00000278869.1	0.718675	lincRNA
ENSG00000255284.1	0.7186	lincRNA
ENSG00000172965.13	0.718525	lincRNA
ENSG00000253154.1	0.7185	lincRNA
ENSG00000254973.1	0.718375	lincRNA
ENSG00000273038.2	0.7183	lincRNA
ENSG00000231485.1	0.7181	lincRNA
ENSG00000233903.2	0.717875	lincRNA
ENSG00000232956.7	0.717725	lincRNA
ENSG00000234546.2	0.717675	lincRNA
ENSG00000272970.1	0.71755	lincRNA
ENSG00000272417.1	0.7174	lincRNA
ENSG00000271856.1	0.7173	lincRNA
ENSG00000244952.2	0.717175	lincRNA
ENSG00000254802.1	0.71685	lincRNA
ENSG00000241169.1	0.7167	lincRNA
ENSG00000272662.1	0.716275	lincRNA
ENSG00000236453.4	0.71625	lincRNA
ENSG00000225163.3	0.716225	lincRNA
ENSG00000272430.1	0.716225	lincRNA
ENSG00000231081.1	0.716	lincRNA
ENSG00000272087.1	0.71585	lincRNA
ENSG00000222041.9	0.715475	lincRNA
ENSG00000272088.1	0.7152	lincRNA
ENSG00000273145.1	0.7152	lincRNA
ENSG00000262089.1	0.715175	lincRNA
ENSG00000260011.2	0.7151	lincRNA
